features_id,bedrooms,squareFootage,features,bathrooms,lotSize
0,3.0,1512.0,"{'exteriorType': 'Other', 'floorCount': 2, 'heating': True, 'heatingType': 'Central', 'roofType': 'Slate', 'roomCount': 6, 'unitCount': 1}",1.0,2500.0
1,0.0,1484.0,"{'floorCount': 1, 'garage': True, 'garageType': 'Attached', 'unitCount': 1}",0.0,6914.0
2,2.0,924.0,"{'architectureType': 'Modular', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 1, 'heating': True, 'heatingType': 'Central', 'roomCount': 4}",1.0,0.0
3,2.0,1036.0,"{'architectureType': 'Conventional', 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Floor / Wall', 'roomCount': 6, 'unitCount': 1}",1.0,6246.0
4,3.0,1374.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum Siding', 'fireplace': True, 'fireplaceType': 'Prefab', 'floorCount': 1, 'foundationType': 'Footing', 'garage': True, 'garageSpaces': 1, 'garageType': 'Detached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Wood Shingle', 'unitCount': 1, 'architectureType': 'Ranch'}",2.0,6098.0
5,0.0,0.0,{},0.0,0.0
6,3.0,1348.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 1, 'foundationType': 'Wood', 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle'}",0.0,20250.0
7,0.0,1270.0,"{'architectureType': 'Condo / Apartment', 'floorCount': 24, 'unitCount': 1}",0.0,0.0
8,3.0,1472.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick Veneer', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle', 'unitCount': 1}",2.0,9695.0
9,4.0,2205.0,nan,2.0,0.0
10,0.0,300.0,"{'architectureType': 'Mobile Home', 'floorCount': 1, 'roofType': 'Aluminum', 'unitCount': 1}",0.0,43560.0
11,3.0,1598.0,"{'cooling': True, 'exteriorType': 'Brick', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 1, 'garageType': 'Carport', 'heating': True, 'heatingType': 'Forced Air', 'pool': True, 'roofType': 'Shingle', 'roomCount': 5, 'unitCount': 1, 'coolingType': 'Commercial'}",2.5,17450.0
12,2.0,1888.0,"{'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Block', 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Heat Pump', 'roofType': 'Composition Shingle', 'roomCount': 7}",2.5,14985.0
13,4.0,1716.0,nan,2.0,0.0
14,4.0,1912.0,"{'architectureType': 'Traditional', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick', 'fireplace': True, 'floorCount': 2, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roomCount': 8, 'unitCount': 1}",2.5,5506.0
